Present Zip Code	Gender	Race	Previous College 1 Name
84084	Female	White	Salt Lake Community College
84103	Female	White	University of Utah
84119	Female	White	Salt Lake Community College
84108	Male	White	University of Utah
84098	Female	White	University of Utah
84020	Female	White	Brigham Young University
84096	Female	Asian	National University of Vietnam
84010	Female	White	Weber State University
84119	Female	White	Westminster College
84003	Male	White	Utah Valley University
84118	Female	White	Snow College
84721	Female	White	College of Eastern Utah
84003	Female	White	Salt Lake Community College
84097	Male	White	Ricks College
84025	Male	More Than One Race	University of utah
84020	Male	White	Ashford University
84025	Female	White	Weber State University
90731	Female	White	Los Angeles Harbor College
84403	Female	White	Weber State Concurrent Enrollment
84095	Female	White	Salt Lake Community College
84790	Female	White	Dixie State College
84094	Male	White	Snow College
94010	Male	Black or African American	College of San Mateo
84010	Female	White	University of Utah
84092	Female	White	Salt Lake Community College
84070	Female	White	Salt Lake Community College
84096	Female	White	University of Utah
84064	Female	White	College of Eastern Utah
84107	Female	White	Salt Lake Community College
84107	Male	White	Salt Lake Community College
84332	Male	White	Utah State University
84117	Female	White	University of Utah
84606	Female	White	Brigham Young University
84014	Female	White	Salt Lake Community College
84102	Female	White	Salt Lake Community College
92867	Female	White	Green River Community College
84117	Male	White	Utah State University
84107	Male	White	Salt Lake Community College
84720	Female	White	Southern Utah University
84765	Female	White	Dixie State College
84074	Female	White	Salt Lake Community College
84109	Female	White	Salt Lake Community College
84003	Male	White	Brigham Young University-Idaho
84663	Female	White	Provo College
84102	Female	White	Utah State Univeristy
84102	Female	White	Salt Lake Community College
84054	Female	White	Weber State
84606	Female	White	Brigham Young University
84104	Female	White	University of Utah
84120	Female	Asian	SALT LAKE COMMUNITY COLLEGE
84341	Male	White	Brigham Young University
84319	Male	White	Mountain Crest High School
84401	Female	White	WEBER STATE UNIVERSITY
84084	Male	White	Salt Lake Community College
84318	Female	White	Brigham Young University
84120	Male	White	SLCC
84057	Female	White	Utah Valley University
84664	Female	White	Utah Valley University
84108	Female	White	St. Mary's University
84103	Male	White	Salt Lake Community College
84070	Male	White	Salt Lake Community College
84501	Male	White	Utah State University - Eastern
89130	Female	White	Shadow Ridge High School
